"标准部门",科目(原),科目(内),科目(外),班级编码,班级名称（外）,班级名称（内）,班级类型名称,班级课次数,总课次,班级时长,实际时长,单次课时长,教材费,产品品类,产品品类(原),产品体系(原),产品体系,课程产品名称,课程产品名称(外),合班状态,合班详情,续班类型,年级(原),年级序数,年级(外),班级标价,主带课老师,关联班号,季度,季度(外),班级状态,开课日期,实际开课日期,班级审核状态,上课形式,授课方式,授课方式(原),授课渠道,最大人数,设班日期,上课时间(外),教材发放形式,实际结课日期,当前人数(占名额),最小发薪部门,上课地点(外),上课教室,考勤方式,班容名称,管理项目,校区名称,结课日期,保底人数,开班人数,课程名称
"国外考试部",全科,"阅读,写作,词汇,听力,口语",,TZZ2707,托福直通车中级提高班（新）,托福直通车中级提高班（FY26）,TOEFL直通车,60,60,7200,7200,120.0,60.00,TOEFL,TOEFL,常规体系,常规体系,托福直通车中级提高班,托福直通车中级提高班,否,,可续,,,,23800.00,蔡蓓(036158),,"春季,暑假,秋季,寒假",,正常,2026-09-13,2026-09-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,0,2026-08-07,"秋季周日上午08:00-10:00,10:10-12:10，寒假集中上课","有教材,开课前领取",2027-02-04,0,国外考试部,芙蓉广场教学区,芙蓉广场16-A11教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-02-04,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语",,TZZ2706,托福直通车中级提高班（新）,托福直通车中级提高班（FY26）,TOEFL直通车,60,60,7200,7200,120.0,60.00,TOEFL,TOEFL,常规体系,常规体系,托福直通车中级提高班,托福直通车中级提高班,否,,可续,,,,23800.00,,,"春季,暑假,秋季,寒假",,正常,2026-09-13,2026-09-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2025-12-29,"秋季周日上午08:00-10:00,10:10-12:10，寒假集中上课","有教材,开课前领取",2027-02-04,10,国外考试部,芙蓉广场教学区,芙蓉广场16-A3教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-02-04,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语",,TZJ2703,托福进阶班,托福进阶班（FY26）,TOEFL直通车,48,48,5760,5760,120.0,"	0.00",TOEFL,TOEFL,常规体系,常规体系,托福进阶班,托福进阶班,否,,可续,,,,16800.00,,,暑假,,正常,2026-09-27,2026-09-27,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,0,2025-12-23,"周日08:00-10:00,10:10-12:10","有教材,开课前领取",2027-01-30,0,国外考试部,八方24品教学区,八方206教室,班级刷卡,6人,国外考试部,八方24品教学区,2027-01-30,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语",,TFY2703,托福基础班,托福基础班（FY26）,TOEFL直通车,48,48,5760,5760,120.0,180.00,TOEFL,TOEFL,常规体系,常规体系,托福基础班,托福基础班,否,,可续,,,,15800.00,,,"春季,暑假,秋季,寒假",,正常,2026-09-13,2026-09-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2026-04-29,"每周日08:00-10:00, 10:10-12:10，寒假集中上课","有教材,开课前领取",2027-01-29,5,国外考试部,芙蓉广场教学区,芙蓉广场16-C4教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-01-29,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语",,TFC2701,托福冲分班,托福冲分班（FY24）,TOEFL直通车,40,40,4800,4800,120.0,"	0.00",TOEFL,TOEFL,常规体系,常规体系,托福冲分班,托福冲分班,否,,可续,,,,14800.00,章曦(062395),,暑假,,正常,2026-09-27,2026-09-27,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2025-12-23,"每周日08:00-10:00,10:10-12:10",无教材,2027-01-25,0,国外考试部,芙蓉广场教学区,芙蓉广场16-B9教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-01-25,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语,语法",,MSZ2746,雅思直通车中级课程（Pro）,雅思直通车中级课程（FY26Q2）,IELTS直通车,48,48,5760,5760,120.0,436.00,IELTS,IELTS,常规体系,常规体系,雅思直通车中级课程,雅思直通车中级课程,否,,可续,,,,19800.00,罗琬仪(273952),,"春季,暑假,秋季,寒假",,正常,2026-09-12,2026-09-12,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,6,2026-08-07,"周六13:30-15:30,15:40-17:40，寒假集中上课
","有教材,开课前领取",2027-01-29,5,国外考试部,芙蓉广场教学区,芙蓉广场16-A1教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-01-29,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语,语法",,MSZ2744,雅思直通车中级课程（Pro）,雅思直通车中级课程（FY26Q2）,IELTS直通车,48,48,5760,5760,120.0,436.00,IELTS,IELTS,常规体系,常规体系,雅思直通车中级课程,雅思直通车中级课程,否,,可续,,,,19800.00,侯雨杉(624320),,"春季,暑假,秋季,寒假",,正常,2026-09-13,2026-09-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,9,2026-07-31,"每周日08:00-10:00, 10:10-12:10，寒假集中上课","有教材,开课前领取",2027-01-30,4,国外考试部,八方24品教学区,八方307教室,班级刷卡,6人,国外考试部,八方24品教学区,2027-01-30,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语,语法",,MSZ2739,雅思直通车中级课程（Pro）,雅思直通车中级课程（FY26Q2）,IELTS直通车,48,48,5760,5760,120.0,436.00,IELTS,IELTS,常规体系,常规体系,雅思直通车中级课程,雅思直通车中级课程,否,,可续,,,,19800.00,李嘉乐(707565),,"春季,暑假,秋季,寒假",,正常,2026-09-19,2026-09-19,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,0,2026-05-10,"每周六13:30-15:30, 15:40-17:40，寒假集中上课","有教材,开课前领取",2027-01-30,0,国外考试部,天马教学区,天马虚拟教室3（407教室）,班级刷卡,6人,国外考试部,天马教学区,2027-01-30,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语,语法",,MSZ2738,雅思直通车中级课程（Pro）,雅思直通车中级课程（FY26Q2）,IELTS直通车,48,48,5760,5760,120.0,436.00,IELTS,IELTS,常规体系,常规体系,雅思直通车中级课程,雅思直通车中级课程,否,,可续,,,,19800.00,,,"春季,暑假,秋季,寒假",,正常,2026-09-13,2026-09-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,1,2026-05-10,"每周日08:00-10:00, 10:10-12:10，寒假集中上课","有教材,开课前领取",2027-01-29,0,国外考试部,天马教学区,天马虚拟教室3（407教室）,班级刷卡,6人,国外考试部,天马教学区,2027-01-29,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语,语法",,MSZ2737,雅思直通车中级课程（Pro）,雅思直通车中级课程（FY26Q2）,IELTS直通车,48,48,5760,5760,120.0,436.00,IELTS,IELTS,常规体系,常规体系,雅思直通车中级课程,雅思直通车中级课程,否,,可续,,,,19800.00,张淼依(246195),,"春季,暑假,秋季,寒假",,正常,2026-09-13,2026-09-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2026-05-10,"每周日08:00-10:00, 10:10-12:10，寒假集中上课","有教材,开课前领取",2027-01-29,2,国外考试部,芙蓉广场教学区,芙蓉广场虚拟教室（16楼大会议室）,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-01-29,3,4,
